stride , mean, time (msec), rate (MB/s)
1, 50.487667, 16.000000, 476.837158,
2, 50.474959, 0.000000, 1.#INF00,
3, 50.478112, 0.000000, 1.#INF00,
4, 50.482004, 15.000000, 508.626302,
5, 50.449972, 0.000000, 1.#INF00,
6, 50.486032, 0.000000, 1.#INF00,
7, 50.461920, 0.000000, 1.#INF00,
8, 50.463945, 16.000000, 476.837158,
9, 50.456229, 0.000000, 1.#INF00,
10, 50.486428, 0.000000, 1.#INF00,
11, 50.411176, 16.000000, 476.837158,
12, 50.455095, 0.000000, 1.#INF00,
13, 50.466165, 0.000000, 1.#INF00,
14, 50.488347, 16.000000, 476.837158,
15, 50.449863, 0.000000, 1.#INF00,
16, 50.481010, 15.000000, 508.626302,
17, 50.497967, 16.000000, 476.837158,
18, 50.464461, 0.000000, 1.#INF00,
19, 50.456164, 16.000000, 476.837158,
20, 50.449003, 15.000000, 508.626302,
